"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.062196083E0,2.022915035E-1,1.620668173E-1,1.386518776E-1
3.072203083E0,1.676677465E-1,1.613445580E-1,1.754764616E-1
3.082209083E0,1.298577785E-1,1.442749947E-1,2.072347254E-1
3.092215083E0,8.512627333E-2,9.538281709E-2,2.278134972E-1
3.102222083E0,5.818968639E-2,1.914148964E-2,2.495887429E-1
3.112228083E0,3.260682896E-2,-5.942122638E-2,2.724567950E-1
3.122234083E0,5.081828684E-3,-1.528731287E-1,2.823072374E-1
3.132241083E0,-2.164299227E-2,-2.455093265E-1,2.829067111E-1
3.142247083E0,-4.233368859E-2,-3.257657290E-1,2.749282718E-1
3.152253500E0,-4.801527411E-2,-3.864764869E-1,2.512913644E-1
3.162260500E0,-3.829216585E-2,-4.230566025E-1,2.263444662E-1
3.172266500E0,-1.961115748E-2,-4.099045992E-1,1.997168511E-1
3.182273500E0,1.463170908E-2,-3.541536033E-1,1.778918356E-1
3.192279500E0,6.212492660E-2,-2.903690338E-1,1.690120548E-1
3.202285500E0,8.637481928E-2,-2.013407946E-1,1.641105413E-1
3.212292500E0,1.045263931E-1,-7.643426955E-2,1.772351414E-1
3.222298500E0,9.582014382E-2,5.587788764E-3,1.953070164E-1
3.232304500E0,8.134586364E-2,5.671169236E-2,2.005140185E-1
3.242311500E0,7.671968639E-2,6.908660382E-2,1.969339401E-1
3.252317500E0,7.972985506E-2,4.500709847E-2,1.938468069E-1
3.262323500E0,8.391134441E-2,-2.195759118E-2,1.885309517E-1
3.272330500E0,9.782369435E-2,-1.079737023E-1,1.869604886E-1
3.282336500E0,1.279114485E-1,-1.921927929E-1,1.835456938E-1
3.292342500E0,1.705843359E-1,-2.570575178E-1,1.726397872E-1
3.302349500E0,2.150959969E-1,-3.065131307E-1,1.465805769E-1
3.312355500E0,2.453258038E-1,-3.358864784E-1,1.038187370E-1
