"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.622552500E0,2.203303909E1,-1.036401367E1,-4.533752441E1
3.632559500E0,2.203345490E1,-1.025819397E1,-4.555242920E1
3.642565500E0,2.220644760E1,-1.008276367E1,-4.511700439E1
3.652571500E0,2.202371597E1,-9.835556030E0,-4.512585449E1
3.662578500E0,2.203563309E1,-9.737014771E0,-4.563177490E1
3.672584500E0,2.207515717E1,-9.679244995E0,-4.534533691E1
3.682590500E0,2.217332077E1,-9.622100830E0,-4.569628906E1
3.692597500E0,2.205426407E1,-9.695724487E0,-4.543261719E1
3.702603500E0,2.199718094E1,-9.723968506E0,-4.542285156E1
3.712609500E0,2.171213150E1,-9.435012817E0,-4.590112305E1
3.722616500E0,2.152247620E1,-9.449325562E0,-4.554614258E1
3.732622500E0,2.141318512E1,-9.406097412E0,-4.600634766E1
3.742629500E0,2.147464752E1,-9.500564575E0,-4.610705566E1
3.752635500E0,2.144393539E1,-9.565063477E0,-4.593145752E1
3.762641500E0,2.129908371E1,-9.488189697E0,-4.611608887E1
3.772648500E0,2.143301392E1,-9.636871338E0,-4.582568359E1
3.782654500E0,2.144636536E1,-9.706420898E0,-4.571954346E1
3.792660500E0,2.156605911E1,-9.901733398E0,-4.596307373E1
3.802667500E0,2.158143616E1,-1.007493591E1,-4.541680908E1
3.812673500E0,2.136894608E1,-1.017691040E1,-4.605584717E1
3.822679500E0,2.118930817E1,-1.030131531E1,-4.573968506E1
3.832686500E0,2.116476440E1,-1.036668396E1,-4.579644775E1
3.842692500E0,2.101994324E1,-1.031515503E1,-4.582604980E1
3.852698500E0,2.093985748E1,-1.036163330E1,-4.566931152E1
3.862705500E0,2.097793198E1,-1.014280701E1,-4.602825928E1
3.872711500E0,2.081762695E1,-9.814361572E0,-4.587908936E1
3.882717500E0,2.077623749E1,-9.571212769E0,-4.553564453E1
3.892724500E0,2.073535538E1,-9.221069336E0,-4.595172119E1
3.902730500E0,2.075146103E1,-9.038787842E0,-4.560113525E1
3.912737500E0,2.067827988E1,-8.576171875E0,-4.563281250E1
3.922743500E0,2.056129456E1,-8.155899048E0,-4.572637939E1
3.932749500E0,2.060749054E1,-7.996536255E0,-4.524902344E1
3.942756500E0,2.057005310E1,-7.633514404E0,-4.568267822E1
3.952762500E0,2.045861053E1,-7.336273193E0,-4.556109619E1
3.962768500E0,2.045861053E1,-7.336273193E0,-4.556109619E1
